	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
symcomp10491	23	20	6	13	16	1
symcomp104918	0	0	0	0	0	0
symcomp104933	1	0	1	1	2	0
symcomp10495	0	0	0	0	0	0
symcomp10496	1	28	4	22	21	0
symcomp10498	0	1	0	0	0	0
symcomp1050	2	0	2	2	1	0
symcomp10501	0	0	0	0	0	0
symcomp10503	0	1	0	0	0	0
symcomp10505	0	0	0	0	0	0
symcomp10508	0	1	0	0	1	0
symcomp10509	0	0	0	0	0	0
symcomp10510	0	0	0	0	2	0
symcomp105111	0	0	0	0	0	0
symcomp10516	0	0	0	0	0	0
symcomp10518	0	1	0	0	0	0
symcomp10520	0	1	1	1	0	0
symcomp10522	1	7	5	6	4	0
symcomp10523	0	0	0	0	0	0
symcomp10524	2	0	0	1	0	0
symcomp10526	2	21	3	8	3	0
symcomp10529	0	0	0	0	0	0
symcomp1053	2	2	0	1	0	0
symcomp10530	15	50	7	21	9	11
symcomp10531	0	0	0	0	0	0
symcomp10532	1	0	0	0	0	0
symcomp105323	0	0	0	0	0	0
symcomp10533	0	0	0	2	0	0
symcomp10534	2	7	0	4	2	0
symcomp10535	3	11	2	6	2	0
symcomp10536	0	0	0	0	0	0
symcomp10538	0	6	0	1	1	0
symcomp10540	2	0	2	0	0	0
symcomp10541	0	0	0	1	0	0
symcomp10543	0	1	0	0	0	0
symcomp10544	0	0	0	0	0	0
symcomp10545	13	33	14	30	15	1
symcomp10546	1	0	0	8	1	0
symcomp10547	0	0	0	0	0	0
symcomp1055	0	0	0	0	0	0
symcomp10551	0	0	0	0	0	0
symcomp10553	0	0	0	0	0	0
symcomp10554	0	0	0	0	1	0
symcomp10556	0	0	0	0	0	0
symcomp10559	0	0	0	0	0	0
symcomp10560	1	3	1	1	1	0
symcomp10563	13	67	28	109	76	6
symcomp10565	0	0	0	0	0	0
symcomp10567	1	1	1	0	0	0
symcomp10569	0	1	0	0	0	0
symcomp10571	0	0	0	0	0	0
symcomp10574	0	0	0	0	0	0
symcomp10575	0	0	0	0	0	0
symcomp10576	0	1	0	0	1	0
symcomp105766	0	2	0	0	0	0
symcomp10578	0	7	1	5	2	0
symcomp1058	0	0	0	0	0	0
symcomp10580	0	4	0	0	0	0
symcomp10581	15	47	16	79	30	0
symcomp10582	0	0	0	0	0	0
symcomp10584	5	19	8	17	12	0
symcomp10585	0	0	1	0	0	0
symcomp10588	0	0	0	0	0	0
symcomp10589	0	2	0	1	1	0
symcomp10590	0	0	0	0	0	0
symcomp10591	0	0	0	0	0	0
symcomp106	0	0	0	0	0	0
symcomp10601	10	39	11	36	20	2
symcomp10603	0	0	0	3	0	0
symcomp10605	1	50	0	0	0	0
symcomp10606	0	0	0	0	0	0
symcomp10608	3	12	2	3	6	0
symcomp10609	1	0	0	0	0	0
symcomp10612	6	33	15	11	7	0
symcomp10614	5	32	4	15	18	0
symcomp10615	0	0	0	0	0	0
symcomp10618	0	0	1	0	0	0
symcomp10619	0	1	0	2	0	0
symcomp10623	0	4	0	0	2	0
symcomp10624	0	1	0	0	0	0
symcomp10628	7	12	0	8	2	0
symcomp1063	0	1	3	0	0	0
symcomp10633	4	6	5	17	4	0
symcomp10636	0	34	2	8	4	0
symcomp10637	0	0	0	0	0	0
symcomp10638	3	6	3	3	1	0
symcomp10639	0	0	0	0	1	0
symcomp10640	0	0	0	0	0	0
symcomp10641	4	23	0	12	7	0
symcomp10644	0	0	0	0	0	0
symcomp10646	32	55	38	186	142	6
symcomp10647	0	0	0	0	0	0
symcomp10648	0	2	0	0	2	0
symcomp10649	0	0	0	0	0	0
symcomp10654	1	0	0	5	0	0
symcomp10656	0	0	0	0	1	0
symcomp10658	2	9	4	11	3	0
symcomp10661	22	64	23	24	20	4
symcomp10665	9	18	6	29	5	3
symcomp10666	0	0	0	0	0	0
symcomp10667	1	16	6	8	5	0
symcomp10669	0	0	0	0	0	0
symcomp10673	9	2	2	3	5	0
symcomp10674	0	0	0	0	0	0
symcomp106761	0	2	0	1	1	1
symcomp10677	1	0	2	4	0	0
symcomp10678	0	0	0	0	0	2
symcomp106783	0	0	0	0	0	0
symcomp1068	0	0	0	0	0	0
symcomp10680	0	2	0	0	0	0
symcomp106801	1	0	0	1	1	0
symcomp10681	0	2	0	1	1	0
symcomp10682	7	4	3	0	1	0
symcomp10687	2	0	0	0	0	0
symcomp1069	0	0	0	0	0	0
symcomp10690	6	13	5	15	14	0
symcomp10691	3	12	10	0	1	4
symcomp10692	0	0	0	0	0	0
symcomp10696	18	36	8	4	9	0
symcomp10698	0	0	0	0	0	0
symcomp10699	1	1	0	2	1	0
symcomp107	3	0	0	0	0	0
symcomp1070	4	2	0	1	0	0
symcomp10701	0	2	0	0	0	0
symcomp10702	0	0	0	1	0	0
symcomp10704	0	3	0	0	0	0
symcomp10706	15	34	18	19	19	3
symcomp1071	0	1	1	1	0	0
symcomp10713	0	1	1	1	0	0
symcomp107144	0	0	0	0	0	0
symcomp10717	15	75	37	78	40	0
symcomp10722	35	79	29	69	37	7
symcomp10724	1	2	1	10	3	1
symcomp10726	0	0	0	0	0	0
symcomp10730	2	1	1	0	2	0
symcomp10733	0	0	0	0	0	0
symcomp10734	2	0	0	0	0	0
symcomp10736	0	0	0	0	0	0
symcomp10737	0	1	0	2	0	0
symcomp10738	0	3	0	0	0	0
symcomp10740	0	0	0	0	0	0
symcomp10743	0	0	0	0	0	3
symcomp10745	0	0	0	0	0	0
symcomp107453	0	0	0	0	0	0
symcomp10748	0	0	0	0	0	0
symcomp10750	0	0	0	0	0	0
symcomp10753	0	0	0	0	0	0
symcomp10755	1	2	0	0	0	0
symcomp10756	0	4	0	0	0	0
symcomp10757	0	0	0	0	0	0
symcomp10760	0	9	2	6	3	0
symcomp10763	0	1	0	4	3	0
symcomp10766	3	6	3	7	3	0
symcomp10767	0	0	0	0	0	0
symcomp10768	0	4	3	0	0	0
symcomp10769	0	7	0	0	1	0
symcomp10770	0	0	1	3	0	0
symcomp10771	0	1	0	0	0	0
symcomp10772	16	24	17	23	13	0
symcomp10773	1	5	0	4	0	0
symcomp10775	0	1	0	2	2	0
