	NN1	NN2	NN3	UU1	UU2	UU3
SPU_021510	2724	2793	2812	2632	2328	1829
SPU_001446	320	323	417	342	236	128
SPU_001445	406	367	416	481	398	289
SPU_012451	96	84	119	113	57	60
SPU_006094	0	0	0	0	0	0
SPU_006095	3	0	0	1	1	0
SPU_002268	721	757	790	805	726	663
SPU_002269	5	1	1	0	3	3
SPU_002270	173	167	218	147	148	71
SPU_013033	0	2	0	1	0	0
SPU_013034	15	15	14	19	7	8
SPU_026983	501	559	557	692	641	638
SPU_026982	1370	1322	1881	1171	856	615
SPU_003564	3	0	0	0	0	1
SPU_030232	2	3	0	4	3	0
SPU_005317	0	0	0	0	0	0
SPU_020747	20	22	37	40	10	19
SPU_020748	198	209	230	216	161	80
SPU_026255	84	66	89	65	58	50
SPU_015907	1	1	2	0	1	1
SPU_005316	16	22	30	21	25	5
SPU_002289	43	52	46	29	30	45
SPU_008752	191	161	164	144	105	89
SPU_008751	0	2	4	0	0	0
SPU_014095	31	16	22	24	15	25
SPU_028242	17	14	19	14	5	6
SPU_028241	309	311	338	404	382	388
SPU_020008	0	1	0	0	1	0
SPU_014458	1	0	0	0	0	0
SPU_009319	83	65	64	82	78	47
SPU_012165	142	144	152	141	119	111
SPU_025107	133	147	158	155	113	144
SPU_025106	0	0	0	0	0	1
SPU_025907	0	0	0	0	0	0
SPU_015890	6	9	19	6	2	8
SPU_020353	0	0	0	0	0	0
SPU_027235	683	788	802	882	556	540
SPU_027234	160	132	192	175	125	83
ENSRNA022743171	0	0	0	0	0	0
SPU_020641	33	6	6	1	17	2
SPU_025132	14	19	13	25	11	10
SPU_009208	30	25	31	25	13	11
SPU_025131	226	204	197	172	168	165
SPU_025749	106	135	129	136	110	65
SPU_003201	24	30	33	39	9	9
SPU_013493	3	0	0	0	1	1
SPU_002826	74	84	76	62	45	37
SPU_002827	0	0	0	1	0	1
SPU_009531	17	13	24	16	14	19
SPU_014744	0	0	0	0	1	0
SPU_014743	0	0	0	0	0	0
SPU_014745	0	0	0	1	0	0
SPU_018764	66	44	71	62	57	52
SPU_014742	339	322	315	313	296	214
SPU_014741	2	1	6	4	3	3
SPU_014746	230	238	218	227	186	170
SPU_014747	84	68	79	78	60	37
SPU_021021	125	142	135	75	80	51
SPU_021022	33	39	23	33	25	14
SPU_017734	25	30	37	13	24	12
SPU_010443	212	194	211	218	200	142
SPU_010442	35	17	33	25	23	12
SPU_010444	48	45	51	49	48	52
SPU_010441	15	17	18	14	17	12
SPU_010445	216	240	212	69	54	35
SPU_010440	18	26	15	7	7	8
SPU_010439	175	151	155	176	147	107
SPU_005219	153	159	117	79	77	84
SPU_019598	0	0	1	3	0	0
SPU_005889	114	81	71	90	90	73
SPU_017560	0	0	0	0	0	0
SPU_013674	0	0	0	0	0	0
SPU_003318	0	0	0	0	0	0
SPU_003320	0	0	0	0	0	0
SPU_003321	0	0	0	0	0	0
SPU_015461	0	0	0	0	0	0
SPU_004642	0	0	0	0	0	0
SPU_014231	0	0	0	0	0	0
SPU_002452	0	0	0	1	0	0
SPU_009754	0	0	0	1	0	0
SPU_009753	0	0	0	0	0	0
SPU_023983	0	0	0	0	0	0
SPU_004491	0	0	0	0	0	0
SPU_011331	1	0	0	0	0	0
SPU_027287	6	2	3	4	5	3
SPU_027288	0	1	3	10	7	7
SPU_003930	1	1	7	5	5	3
SPU_003929	783	801	788	711	586	498
SPU_009671	4	5	5	3	8	5
SPU_010691	903	869	832	773	554	416
SPU_020441	922	981	1045	874	803	834
SPU_020440	264	275	297	184	210	89
SPU_015255	0	0	0	0	0	0
SPU_013889	1537	1690	1686	1285	1127	890
SPU_018890	1	13	8	2	5	1
SPU_018891	65	62	59	61	48	28
SPU_018892	640	684	570	655	601	490
SPU_018889	18	21	18	18	17	9
SPU_019895	0	0	0	0	0	0
SPU_012792	7352	6992	7865	5793	4670	3520
SPU_012793	728	654	676	569	441	269
SPU_018074	9	10	14	11	4	3
SPU_018075	64	73	67	75	63	52
SPU_000553	1	1	0	0	0	2
SPU_000554	294	317	349	281	160	125
SPU_027665	8	4	7	7	9	6
SPU_027664	42	62	70	26	24	24
SPU_027663	36	29	50	21	21	23
SPU_027833	1114	1229	1268	1369	1115	1034
SPU_027834	149	137	101	115	124	84
