	NN1	NN2	NN3	UU1	UU2	UU3
SPU_026229	2310	2797	2421	2861	2624	2542
SPU_009410	237	226	264	209	199	117
SPU_026228	71	84	54	91	61	54
SPU_007145	27	18	11	24	22	35
SPU_026226	32	45	61	57	77	49
SPU_026227	331	385	352	543	408	378
SPU_009820	15	15	18	35	13	4
SPU_009819	1	0	6	5	2	1
SPU_003970	42	35	37	48	34	18
SPU_000666	7	5	9	2	5	3
SPU_003969	12	11	16	4	5	3
SPU_003968	16	13	26	7	10	16
SPU_000667	28	32	26	23	14	13
ENSRNA022743327	0	0	0	0	0	2
SPU_000668	567	647	630	574	524	479
SPU_000669	3	2	4	0	2	1
SPU_021497	0	0	0	0	0	0
SPU_005009	94	95	114	100	50	44
SPU_014885	634	757	691	841	777	583
SPU_014886	899	995	996	1173	982	967
SPU_014887	835	968	860	946	747	751
SPU_014884	772	894	951	869	716	689
SPU_014888	99	76	100	96	80	71
SPU_014883	185	178	198	178	175	115
SPU_014882	760	688	849	641	518	399
SPU_014881	7248	7390	7211	8365	8176	7952
SPU_007448	220	308	264	262	265	182
SPU_001505	377	319	389	364	344	293
SPU_018499	784	835	782	987	927	939
SPU_018006	0	0	0	0	0	0
SPU_022883	0	0	0	0	0	0
SPU_025934	461	477	480	556	362	153
SPU_000947	323	289	370	376	225	56
SPU_000946	11	3	13	6	20	3
SPU_011751	104	91	113	96	48	9
SPU_025945	0	0	0	0	0	0
SPU_013484	0	0	0	0	0	0
SPU_001334	27	20	33	32	25	30
SPU_018358	168	195	177	162	132	143
SPU_009104	0	0	0	0	4	0
SPU_023795	146	109	147	115	86	58
SPU_019003	0	0	1	1	0	0
SPU_017915	0	0	0	0	0	0
SPU_017912	0	1	0	0	0	0
SPU_006684	88	79	83	99	85	72
SPU_026859	0	0	0	0	1	0
SPU_006685	117	130	155	121	110	64
SPU_006678	7	17	8	14	10	14
SPU_006677	13	10	8	8	14	13
SPU_006676	5512	6565	6354	6763	6154	5196
SPU_006686	10	19	13	17	8	3
SPU_020361	187	176	199	219	187	180
SPU_011604.a	133	129	108	157	125	103
SPU_011604.b	27	23	42	33	20	16
SPU_011605	3	1	0	7	2	3
SPU_011610	11	16	13	17	10	10
SPU_011609	0	0	0	0	0	0
SPU_020360	0	0	0	0	0	0
SPU_011608	0	0	0	0	0	0
SPU_025911	0	0	0	0	0	0
SPU_011607	5	4	7	0	0	0
SPU_011606	6	3	6	3	3	0
SPU_002885	222	244	255	156	161	94
SPU_019585	17	10	20	9	9	2
SPU_019586	149	145	142	141	91	49
SPU_022325	2	2	6	6	5	1
SPU_005773	0	0	0	0	0	0
SPU_022326	4	12	11	23	19	10
SPU_022327	174	181	170	204	165	103
SPU_022328	29	25	24	34	28	14
SPU_017993	0	0	0	0	0	0
SPU_009379	0	0	0	0	0	0
SPU_010851	252	242	282	225	171	86
SPU_018514	12	9	10	9	4	4
SPU_006841	8	5	10	13	13	7
SPU_014638	0	1	7	4	1	2
SPU_014639	124	104	74	119	85	41
SPU_011981	0	0	0	0	0	0
SPU_024487	0	0	0	0	0	0
SPU_019370	167	182	170	147	151	98
SPU_004756	1	3	3	7	4	4
SPU_005531	134	117	125	140	80	36
SPU_022038	3559	3289	3577	3598	3090	2725
ENSRNA022744322	0	0	0	2	0	0
ENSRNA022744329	0	0	0	0	0	0
ENSRNA022744336	0	0	0	0	0	0
ENSRNA022744333	0	0	0	0	0	0
ENSRNA022744364	0	0	0	0	0	0
ENSRNA022744360	0	0	0	0	0	0
ENSRNA022744358	0	0	0	0	0	0
ENSRNA022744342	0	0	0	0	0	0
ENSRNA022744346	0	0	0	0	0	0
SPU_027613	0	0	0	2	3	4
ENSRNA022744352	0	0	0	0	0	0
SPU_027611	6	2	1	12	1	2
SPU_027612	55	35	42	39	31	56
SPU_010733	32	30	26	16	23	23
SPU_010976	815	940	859	987	908	810
SPU_010979	2279	2391	2260	3004	2651	2410
SPU_010978	65	58	67	50	45	32
SPU_010977	332	283	298	252	238	175
SPU_019055	17	26	32	13	10	13
SPU_003629	142	121	150	167	109	60
SPU_025162	1015	1042	1006	882	865	690
SPU_017210	0	0	0	0	0	0
SPU_004971	0	0	0	0	0	0
SPU_027858	4	3	3	0	0	0
SPU_008913	0	0	0	0	1	0
SPU_019617	0	3	0	0	1	0
SPU_022171	11	3	3	2	15	0
SPU_022559	0	0	0	0	0	0
SPU_007677	4	1	1	1	1	0
ENSRNA022742719	0	0	0	0	0	0
SPU_015772	76	69	87	67	62	38
SPU_015773	35	27	22	35	34	20
SPU_012651	19	15	16	20	14	10
SPU_001231	0	0	0	0	0	0
SPU_006611	0	0	0	0	0	0
SPU_030077	0	0	0	0	0	0
SPU_011481	0	0	0	0	0	0
SPU_015403	10	8	3	5	0	1
SPU_013983	0	0	0	1	0	0
SPU_025566	3	1	1	1	5	3
SPU_015404	1288	1369	1252	1743	1212	972
SPU_012138	27	15	28	33	20	10
SPU_023992	255	241	237	207	171	121
SPU_010933	7	6	4	1	3	1
SPU_017453	918	1059	1023	990	790	716
SPU_017454	87	51	55	94	109	80
SPU_017452	98	151	113	128	131	77
ENSRNA022742880	0	0	0	0	0	0
ENSRNA022742876	0	0	0	0	0	0
SPU_013629	2805	2891	2157	2892	1626	2196
SPU_016201	4	3	2	8	2	2
SPU_016728	46	51	37	61	62	53
SPU_016204	17	7	13	5	18	11
SPU_028818	0	0	0	0	0	0
SPU_002044	11	15	5	17	11	4
SPU_006612	73	89	78	86	55	26
SPU_027361	6	4	3	5	5	2
SPU_024890	5931	6021	5612	6333	6389	5862
SPU_026501	0	0	0	0	0	0
SPU_023520	18	33	57	35	18	22
SPU_023519	23	34	50	26	48	16
SPU_002041	0	0	0	0	0	0
SPU_012159	6	1	7	1	1	0
SPU_002893	0	0	0	0	0	0
SPU_016171	192	215	233	130	97	68
SPU_011490	66	52	69	36	32	22
SPU_004416	417	417	527	401	266	266
SPU_004417	431	396	433	394	418	307
SPU_024258	68	82	98	130	77	56
SPU_024259	69	41	83	69	28	37
SPU_022039	202	182	209	209	209	188
SPU_024257	57	62	57	71	41	35
SPU_016555	124	141	135	124	96	63
SPU_018821	5	5	13	9	8	8
SPU_018820	112	138	138	136	131	102
SPU_016172	348	332	353	330	252	160
SPU_025894	602	603	525	588	523	348
SPU_024256	187	213	185	222	170	112
SPU_022890	0	0	1	0	0	0
SPU_024255	134	147	125	110	100	88
ENSRNA022744961	0	0	1	0	0	4
SPU_024260	409	395	446	439	373	336
SPU_001075	9	7	3	10	2	4
SPU_001076	135	182	175	147	142	114
SPU_001077	1328	1409	1351	1529	1334	1251
SPU_003458	26	41	35	41	26	22
SPU_012253	699	643	807	489	413	277
SPU_017883	2	0	2	6	15	6
SPU_013796	15	7	12	3	12	9
SPU_013795	3	4	5	6	7	7
SPU_013797	9	12	5	19	13	10
SPU_013798	12	7	19	4	9	5
SPU_013799	55	65	51	43	44	23
SPU_013794	53	77	81	58	46	29
SPU_002457	93	92	61	98	99	71
SPU_002456	24	22	24	18	13	18
SPU_013221	9	11	12	24	12	5
SPU_017445	39	38	38	10	50	32
SPU_025581	2025	2123	2077	2204	1921	1635
SPU_025580	86	75	92	46	44	33
SPU_011622	121	144	145	272	219	208
SPU_001439	158	192	167	116	95	89
SPU_021324	246	275	219	295	190	230
SPU_021322	7780	7715	7449	8374	7951	7832
SPU_021323	50	30	38	71	49	50
SPU_000017	46	40	50	83	61	40
SPU_000018	15	8	11	6	8	9
SPU_000019	9	22	11	9	5	9
SPU_000020	13	6	10	11	13	10
SPU_000016	80	58	94	94	107	61
SPU_002506	0	0	0	0	0	0
SPU_022187	4	1	0	1	0	1
SPU_022186	390	455	491	234	162	80
SPU_022185	0	0	0	0	0	0
SPU_014516	10	5	5	7	5	2
SPU_014517	126	159	138	140	128	99
SPU_025687	94	83	92	45	60	34
SPU_025693	137	148	173	146	135	96
SPU_025688	674	616	573	810	777	574
SPU_025689	1358	1613	1373	2036	1833	1814
SPU_025690	3	0	4	2	2	0
SPU_025691	285	303	282	272	222	174
SPU_025692	0	0	1	1	5	10
SPU_007784	0	0	0	0	0	0
SPU_007783	0	0	0	0	0	0
SPU_004899	9	8	12	15	11	4
SPU_028804	10	5	4	0	0	0
ENSRNA022743507	0	6	3	2	3	3
SPU_023658	0	3	1	0	1	0
SPU_005177	216	246	232	236	252	204
SPU_014435	144	184	152	179	147	133
SPU_004265	0	1	0	0	0	0
SPU_010134	11	12	9	2	3	4
SPU_010133	0	0	0	0	0	0
SPU_010132	0	0	0	0	0	0
SPU_028713	219	285	284	271	212	169
SPU_003448	2	4	2	4	0	0
SPU_024521	42	45	24	76	77	74
ENSRNA022744054	0	0	0	0	0	0
SPU_024524	327	300	356	426	379	398
SPU_001457	130	116	140	126	84	55
SPU_001456	26	8	12	8	13	13
SPU_016205	703	624	662	771	847	686
SPU_016200	7653	7751	7740	7719	6967	6761
SPU_016206	171	152	176	215	169	161
SPU_013867	0	1	1	0	2	0
SPU_016207	0	0	0	0	0	0
SPU_018152	25	43	46	37	26	12
SPU_023624	194	147	164	150	120	90
SPU_012259	53	60	55	42	47	22
SPU_021611	7	15	6	12	7	3
SPU_021612	28	32	30	33	19	20
SPU_015484	42	57	49	35	40	24
SPU_019058	48	42	49	42	42	40
SPU_019057	2	2	2	3	2	2
SPU_028448	103	101	104	77	78	61
SPU_007060	282	324	329	260	224	220
SPU_022126	0	0	0	0	0	0
SPU_016141	1032	1191	1197	947	624	450
SPU_016142	552	617	765	378	262	190
SPU_009672	350	322	370	215	150	108
SPU_006417	19	15	24	18	10	8
SPU_016259	593	528	629	375	271	185
SPU_025960	1295	1300	1168	1316	1288	1153
SPU_000476	0	0	0	0	0	1
SPU_025961	1	4	6	7	4	0
SPU_000475	51	40	35	33	36	26
SPU_025962	510	454	508	487	353	177
SPU_007441	98	76	114	85	94	49
SPU_015198	4	8	1	0	0	0
SPU_000918	0	1	2	0	0	0
SPU_000917	0	0	0	0	0	0
SPU_001620	0	0	0	0	0	0
SPU_001619	0	0	0	0	0	0
SPU_001618	0	0	1	0	0	1
SPU_001617	2	0	1	0	0	0
SPU_020785	2	1	8	6	4	6
SPU_017479	1	1	0	1	8	7
SPU_006225	16	13	21	27	16	11
SPU_022786	0	0	0	0	0	0
SPU_010256	1	8	1	0	5	0
SPU_003921	58	84	74	80	51	64
SPU_002056	35	28	29	14	32	11
SPU_012704	685	716	613	655	502	386
SPU_000871.b	0	0	0	0	0	0
SPU_000871.a	0	0	0	0	0	0
SPU_014944	0	0	0	0	0	0
SPU_009287	12	17	22	22	20	11
SPU_009286	10	5	10	5	7	10
SPU_027217	0	0	0	0	0	0
SPU_013370	133	85	109	102	70	54
SPU_006418	0	0	3	0	2	0
SPU_018138	0	0	0	0	0	0
SPU_014016	5	2	0	1	1	4
SPU_020196	94	94	94	100	67	43
SPU_010176	0	3	3	2	1	6
SPU_019193	0	0	0	1	1	0
SPU_014087	5	3	4	2	4	2
SPU_023545	1	0	1	3	1	0
SPU_003816	4	9	1	11	5	9
SPU_004123	0	1	0	0	0	3
SPU_004122	719	711	768	585	477	303
SPU_020965	4	4	4	4	0	1
SPU_020783	61	40	64	30	40	206
SPU_011917	24	35	27	21	8	3
SPU_024444	1	4	2	2	2	1
SPU_024443	118	125	103	127	111	80
SPU_024442	1510	1524	1457	1497	1289	1031
SPU_016892	4	0	4	0	0	0
SPU_012789	6	1	2	4	3	5
SPU_001864	0	0	0	0	0	0
SPU_012790	0	0	0	0	0	0
SPU_003788	1	3	0	2	1	3
SPU_012978	0	0	1	2	0	1
SPU_026659	0	0	0	0	0	0
SPU_019219	2	6	15	11	4	1
SPU_025684	201	195	214	269	269	236
SPU_012514	39	30	27	40	23	26
SPU_012518	1865	2172	1968	1634	1612	1565
SPU_012515	16	10	26	27	16	11
SPU_012517	14	23	25	16	19	5
SPU_024799	0	0	0	1	0	0
SPU_012516	62	54	62	55	44	22
SPU_002366	228	263	257	205	157	115
SPU_003158	0	0	0	0	0	0
SPU_009675	38	43	44	45	44	29
SPU_023212	59	57	28	71	54	45
SPU_023213	68	63	56	56	61	47
SPU_023219	7	10	3	15	8	4
SPU_023214	47	36	47	28	18	21
SPU_023218	13	23	32	9	20	20
SPU_023478	23	28	30	43	36	43
SPU_023215	158	165	160	135	119	137
SPU_023217	1946	1969	2002	1675	1407	983
SPU_023216	904	904	1038	568	430	292
ENSRNA022745796	0	0	0	0	0	0
ENSRNA022745794	0	0	0	0	0	0
ENSRNA022745799	0	0	0	0	0	0
ENSRNA022745826	0	0	0	0	0	0
ENSRNA022745823	0	0	0	0	0	0
ENSRNA022745820	0	0	0	0	0	0
ENSRNA022745816	0	0	0	0	0	0
ENSRNA022745813	0	0	0	0	0	0
ENSRNA022745810	0	0	0	0	0	0
ENSRNA022745801	0	0	0	0	0	0
SPU_002737	8	15	19	10	9	3
SPU_002738	457	443	463	558	561	512
SPU_017141	178	161	253	219	125	63
ENSRNA022744433	0	0	0	0	0	0
SPU_003470	259	236	247	163	120	101
SPU_003468	16	9	2	5	1	4
SPU_022008	74	87	119	69	60	27
SPU_022009	41	45	46	49	32	17
SPU_014620	6	3	4	1	1	0
SPU_014583	21	21	20	19	10	0
SPU_000198	4	2	8	3	5	1
SPU_001053	18	10	12	8	18	10
SPU_025552	0	0	0	0	0	0
SPU_002588	51	42	50	52	43	29
SPU_003536	319	350	356	301	294	333
SPU_003535	0	0	0	2	0	0
SPU_011484	0	0	1	1	0	0
SPU_001663	0	0	1	0	0	0
SPU_008220	16	12	9	1	0	4
SPU_008670	85	87	98	76	61	42
SPU_008669	174	174	142	178	148	130
ENSRNA022742826	0	0	0	3	4	2
SPU_008671	214	202	211	188	185	135
SPU_003538	0	0	0	0	0	0
SPU_004885	715	615	882	521	423	354
SPU_017026	92	77	77	82	72	46
SPU_021807	61	48	47	54	29	41
SPU_020075	14	6	8	18	14	7
SPU_006814	1090	1270	1296	1343	1043	1073
SPU_019015	1	4	4	0	5	9
SPU_023941	154	125	145	151	129	123
SPU_002689	23	12	24	15	23	15
SPU_024159	1	1	1	0	0	1
SPU_017786	50	48	57	42	52	30
SPU_021123	76	86	101	101	62	63
SPU_020499	0	0	0	0	0	0
SPU_021124	0	0	0	0	0	0
SPU_021122	269	258	293	265	227	165
SPU_026112	5	13	15	10	10	6
SPU_011543	0	2	2	0	0	2
SPU_025181	1	4	2	4	0	0
SPU_025180	0	0	0	0	0	1
SPU_001407	0	0	0	0	0	0
SPU_001408	0	0	0	0	0	0
SPU_016686	812	874	1125	666	487	405
SPU_027157	8	0	1	0	0	0
SPU_002912	0	0	0	0	0	0
SPU_028908	1	0	2	2	2	1
SPU_005504	0	0	0	0	0	0
SPU_003666	0	0	0	0	0	0
SPU_003667	0	0	0	0	0	0
SPU_025917	3066	2627	3187	1813	1515	887
SPU_026061	0	0	0	0	0	0
SPU_001871	0	5	0	0	0	2
SPU_021635	0	2	0	1	0	0
SPU_021538	1030	1104	1069	1138	996	1042
SPU_021537	139	142	134	119	112	85
SPU_018586	30	32	25	38	15	17
SPU_018587	413	397	460	564	491	364
SPU_018588	5	17	23	12	10	2
SPU_002257	2	3	2	4	1	0
SPU_018585	184	196	207	166	184	164
SPU_009168	54	48	41	44	43	20
SPU_013460	32	28	41	29	17	19
SPU_009838	316	276	312	230	189	147
SPU_009839	10256	10766	10284	8349	7207	6092
SPU_002052	1409	1593	1495	998	801	617
SPU_001596	18723	20010	19504	19805	16116	14093
SPU_001598	0	0	0	0	0	0
SPU_001597	208	243	252	247	235	235
SPU_024091	40	54	44	25	31	23
SPU_006428	150	152	149	126	152	143
SPU_015612	0	0	0	0	32	1
SPU_004075	561	592	531	597	547	387
SPU_026113	1	0	1	0	0	0
SPU_022830	377	262	350	302	261	328
SPU_022831	454	400	360	159	156	142
SPU_005905	27	28	40	44	39	53
SPU_005904	7	6	6	2	1	4
SPU_014259	427	298	367	262	203	126
SPU_010495	58	69	67	62	46	24
SPU_006644	3	0	0	0	0	2
SPU_010696	0	2	1	2	1	0
SPU_009952	0	0	0	0	0	0
SPU_010695	0	2	1	0	1	0
SPU_010697	13	9	15	9	13	9
SPU_023125	29	43	27	28	30	16
SPU_023124	342	351	402	362	263	176
SPU_017809	1	1	3	0	3	0
SPU_023126	453	489	583	617	525	414
SPU_025587	0	0	0	0	0	0
SPU_023123	10091	9615	11416	7899	6095	4134
SPU_011921	48	35	54	45	42	28
SPU_016317	0	0	0	0	0	0
SPU_020566	0	12	14	8	9	13
SPU_015062	0	0	0	0	0	2
SPU_015063	0	0	0	0	1	0
SPU_014156	0	0	0	0	0	0
SPU_014157	54	41	46	33	32	27
SPU_023116	0	0	0	0	0	0
SPU_023117	0	1	0	0	1	0
SPU_014895	61	77	73	71	62	47
SPU_013265	0	6	0	0	4	0
SPU_014900	15	3	12	1	1	0
SPU_018640	0	0	5	2	3	0
SPU_017065	32	32	40	47	48	21
SPU_024281	36	17	31	35	36	34
SPU_009357	18	12	16	11	14	9
SPU_011592	0	0	0	0	0	0
SPU_011593	0	0	0	0	0	0
SPU_009752	2	3	1	6	0	2
SPU_024710	0	1	0	1	0	0
SPU_024449	3860	3835	3719	3564	3528	3028
SPU_024448	12	21	19	8	8	12
SPU_018549	346	280	331	335	237	205
SPU_030041	0	0	0	0	0	0
SPU_011047	4	3	6	0	2	1
SPU_018641	2	0	0	0	0	0
SPU_000029	4	1	2	7	0	1
SPU_016124	3	2	3	8	2	1
SPU_002150	221	211	205	208	167	125
SPU_002206	46	54	54	49	32	20
SPU_002205	6	5	7	8	4	5
SPU_024068	23	22	17	13	16	6
SPU_002359	11	24	13	13	6	1
SPU_017224	0	0	0	0	0	0
SPU_000103	0	0	0	0	0	0
SPU_009589	0	0	0	0	0	0
SPU_009543	0	1	0	0	0	0
SPU_002342	0	0	1	0	4	0
SPU_003806	51	57	54	56	39	33
SPU_018086	0	0	0	0	0	0
SPU_006122	3	19	9	13	6	15
SPU_006121	2	2	5	0	4	0
SPU_004596	262	208	255	278	217	151
SPU_004595	115	118	127	119	87	75
SPU_014671	0	0	2	4	1	0
SPU_014672	312	240	367	295	231	168
SPU_004482	293	272	323	231	193	118
SPU_004481	2	1	1	0	1	0
SPU_004480	0	0	1	0	0	0
SPU_008661	1	2	0	0	0	0
SPU_005071	253	259	214	273	265	213
SPU_015293	0	0	2	1	1	0
SPU_025576	0	0	0	0	0	0
SPU_026710	0	0	0	0	0	0
SPU_004479	0	0	0	0	0	0
SPU_003636	0	0	0	0	0	0
SPU_026999	31	20	47	35	32	22
SPU_021223	26	16	28	23	24	12
SPU_030080	0	0	0	0	0	0
SPU_030079	0	1	0	0	0	0
SPU_018153	1	0	1	0	0	0
SPU_017425	9	4	6	4	4	1
SPU_016770	1	0	0	0	4	0
SPU_028367	28	46	54	5	7	9
SPU_001172	1	1	0	0	0	0
SPU_016506	1390	1535	1407	1310	1182	1015
SPU_021385	60	62	75	35	38	23
SPU_021384	604	496	549	498	425	260
SPU_021383	143	127	171	132	129	92
SPU_021382	121	117	134	115	63	50
SPU_001421	121	99	121	112	90	77
SPU_027376	254	298	271	210	252	168
SPU_019718	309	307	245	279	243	192
SPU_005615	283	266	350	257	175	108
SPU_005614	88	64	76	68	62	60
SPU_010149	4	3	2	19	3	2
SPU_020940	47	38	44	56	34	37
SPU_023372	73	64	63	79	47	44
SPU_023371	91	93	114	86	68	39
SPU_025080	2	3	9	0	0	0
SPU_005230	0	2	0	0	2	0
SPU_020443	28	38	62	46	32	20
SPU_007074	32	30	25	46	58	54
SPU_028301	25	13	14	49	41	29
SPU_000888	4	5	12	15	3	4
SPU_016964	46	60	41	32	27	19
SPU_022832	25	38	70	27	28	12
SPU_006195	60	29	56	47	33	8
SPU_016304	4	6	15	7	9	4
SPU_017213	4	2	2	1	0	1
SPU_003716	1	0	4	2	0	0
SPU_009732	0	0	0	2	0	0
SPU_026424	2	0	0	0	0	0
SPU_026423	2	3	0	0	0	0
SPU_006643	1	0	0	0	0	0
SPU_008181	4	0	1	0	0	1
SPU_021744	13	7	5	7	0	4
SPU_005412	15	11	12	10	6	5
SPU_015552	0	0	0	6	1	0
SPU_018550	0	4	0	2	0	0
SPU_017402	3	1	0	2	0	1
SPU_024432	95	104	108	88	80	42
SPU_004860	72	98	72	85	72	58
SPU_004859	213	196	215	218	122	114
SPU_004644	69	55	51	56	55	50
SPU_025403	10	2	4	2	7	5
SPU_007811	25	17	17	9	15	28
SPU_014078	6	3	7	0	0	0
SPU_004990	1	3	2	2	2	1
SPU_028836	17	6	19	9	0	3
SPU_019638	0	0	0	0	0	0
SPU_002078	0	0	0	0	0	0
SPU_009641	51	39	53	29	34	24
SPU_009640	670	602	694	529	501	306
SPU_014560	0	0	0	0	0	0
SPU_019515	0	0	0	0	0	0
SPU_025154	104	88	102	91	84	60
SPU_000912	0	0	0	0	0	0
SPU_010999	1	1	10	7	5	6
ENSRNA022743419	0	0	0	0	0	0
SPU_016447	77	88	78	89	56	61
ENSRNA022742374	0	0	0	0	0	0
SPU_008002	145	125	139	165	128	92
SPU_019267	1	0	1	15	19	22
SPU_016134	2003	2150	2075	2175	1877	1771
SPU_016135	39	61	32	67	53	51
SPU_016133	12	9	4	18	10	10
SPU_002967	0	4	1	1	1	4
SPU_002966	463	389	512	370	250	157
SPU_002968	2431	2614	2453	2630	2612	2487
SPU_002969	57	45	40	32	25	19
SPU_002965	3	9	0	6	6	6
SPU_002970	1	6	5	4	5	5
SPU_002971	4	10	4	2	1	8
SPU_002973	0	0	0	0	0	0
SPU_002972	0	0	0	0	0	0
SPU_000155	0	0	0	0	0	0
SPU_000154	0	0	0	2	0	0
SPU_000150	3	2	4	1	0	2
SPU_000153	9	2	3	6	5	4
SPU_000151	541	559	520	304	311	296
SPU_010284	0	0	1	0	0	0
SPU_007258	82	98	60	102	93	98
SPU_005955	307	423	320	384	348	254
SPU_000152	88	76	92	35	32	35
SPU_005954	60	53	70	28	38	5
SPU_005953	12	18	15	12	3	3
SPU_027029	96	67	95	97	78	71
SPU_009108	43	60	61	57	69	34
SPU_009109	30	25	30	27	27	13
SPU_009107	967	854	924	615	506	342
SPU_009106	71	76	72	73	58	54
SPU_004242	43	34	44	30	25	26
SPU_004769	28	47	38	32	32	13
SPU_012332	2	7	4	10	2	3
SPU_007653	9	7	9	7	7	6
SPU_009336	21	22	27	28	16	15
SPU_009337	150	126	136	126	139	107
SPU_009335	683	701	761	675	562	568
SPU_009338	298	292	285	260	183	180
SPU_017872	90	59	79	99	83	65
SPU_013557	246	226	258	318	312	258
SPU_013556	0	0	0	0	0	0
SPU_013555	0	0	0	0	0	0
SPU_013554	0	0	0	0	0	0
SPU_013553	99	108	108	79	40	62
SPU_013552	0	0	0	0	0	1
SPU_013551	66	91	77	91	65	53
SPU_024312	34	41	28	50	35	26
SPU_022672	133	142	134	206	172	149
SPU_022680	423	444	502	428	317	259
SPU_012982	189	209	175	130	127	109
ENSRNA022742551	0	0	0	0	0	0
SPU_010755	98	66	97	77	39	49
SPU_023374	0	0	0	0	0	0
SPU_001129	47	39	50	48	37	46
SPU_001128	28	23	27	16	12	6
SPU_001130	84	97	71	75	60	66
SPU_017928	4	7	0	0	0	0
SPU_001127	20	42	42	39	50	29
SPU_001126	50	39	47	56	55	33
SPU_001131	356	398	389	305	266	207
SPU_001132	211	263	243	229	193	125
SPU_001125	4444	4197	4392	3044	2238	1463
SPU_009409	53	32	85	34	30	28
SPU_009411	298	251	262	305	290	180
SPU_003971	392	412	421	443	337	335
SPU_003972	439	417	512	569	486	360
SPU_003973	30	46	33	25	11	4
SPU_006514	0	0	0	0	0	0
SPU_024885	16	8	4	15	3	4
SPU_006416	0	0	0	0	1	0
SPU_013434	376	308	263	168	124	41
SPU_026284	139	136	133	123	84	35
SPU_009341	0	0	0	0	0	0
SPU_014817	106	110	84	93	103	113
SPU_000414	3	10	6	3	5	4
SPU_014256	265	243	231	291	280	194
SPU_002892	0	0	0	0	0	0
SPU_003547	8	3	3	8	3	2
SPU_003548	35	30	31	54	18	19
SPU_012333	88	105	98	103	83	77
SPU_011926	4	1	3	4	0	1
SPU_001726	441	405	445	413	331	183
SPU_005793	0	0	0	0	0	0
SPU_016562	178	160	195	239	164	91
SPU_000305	51	39	41	37	26	27
SPU_013514	75	75	83	110	87	69
SPU_010019	0	2	0	2	0	0
SPU_010018	12	9	8	10	9	6
SPU_000691	3	9	3	6	9	2
SPU_009032	2	2	0	2	0	0
SPU_011013	3	2	8	14	18	1
SPU_019438	9	6	8	12	11	9
SPU_009501	0	0	0	1	0	0
SPU_014955	0	0	0	0	0	0
SPU_014954	0	2	3	4	1	1
SPU_009153	3	1	6	5	1	3
SPU_009154	26	20	14	4	8	3
SPU_001376	0	0	1	1	1	1
SPU_022587	65	55	53	59	59	38
SPU_008853	19	24	19	11	21	11
SPU_028701	5	6	4	8	7	2
SPU_028700	9	13	7	10	4	5
SPU_017886	55	45	68	32	33	34
SPU_017885	0	0	0	0	0	0
SPU_017884	9	16	13	30	10	12
SPU_009807	47	42	58	36	36	28
SPU_008764	26	28	39	31	29	7
SPU_006815	2	5	6	4	0	0
SPU_003647	1	1	3	0	0	0
SPU_009502	0	0	0	1	0	1
ENSRNA022742395	0	0	0	2	0	0
SPU_020485	9	5	4	3	2	9
SPU_020484	0	2	0	1	1	0
SPU_028246	56	65	53	76	41	25
SPU_030014	1	0	0	0	0	0
SPU_019694	0	0	0	2	1	1
SPU_006314	0	0	1	1	4	0
SPU_006315	0	0	1	2	0	0
SPU_008372	43	39	39	31	51	14
SPU_015655	0	2	4	0	2	0
SPU_015654	0	2	1	4	7	3
SPU_013657	0	1	0	0	0	2
SPU_013270	0	0	0	0	0	0
SPU_007431	66	64	70	50	72	41
SPU_021999	0	0	0	0	0	1
SPU_021998	0	0	0	0	0	0
SPU_019956	10	15	7	10	11	10
SPU_019955	53	74	53	55	50	34
SPU_027211	43	18	42	35	34	37
SPU_001046	90	80	75	61	63	43
SPU_026256	2506	2450	2645	2566	2128	1777
SPU_014959	77	94	90	97	56	57
SPU_026257	0	0	0	0	0	0
SPU_014958	185	185	165	186	153	170
SPU_010368	8	8	9	5	5	0
SPU_010369	2	4	0	5	0	5
SPU_010370	0	0	2	2	0	1
SPU_010371	8	14	8	13	10	18
SPU_010372	2	1	1	3	4	4
SPU_001247	1162	1244	1225	1595	1579	1313
SPU_015857	4	11	7	5	2	1
SPU_017894	131	117	151	141	122	102
SPU_017895	79	34	39	31	32	20
SPU_005584	60	52	67	80	57	42
SPU_005585	38	45	29	29	31	22
SPU_009295	58	61	56	50	58	50
SPU_009293	0	0	0	12	3	2
SPU_023389	66	53	59	65	38	27
SPU_012576	35	46	42	50	33	25
SPU_023388	268	234	193	229	213	148
SPU_023387	0	0	0	0	0	0
SPU_024980	41	44	44	41	36	35
SPU_023386	1629	1500	1621	1462	1119	910
SPU_003472	21	20	17	26	19	12
SPU_000423	1	0	0	1	0	0
SPU_002095	0	0	0	0	0	0
SPU_002094	3	4	1	10	16	6
SPU_011876	11	30	26	61	39	34
SPU_030231	5	3	8	4	1	1
SPU_024019	2	1	3	4	1	2
SPU_024020	4	9	9	6	5	5
SPU_008742	8	0	3	0	0	0
SPU_022988	101	83	87	96	41	36
SPU_023834	11102	11594	11116	14413	11767	8727
ENSRNA022744439	0	1	0	0	1	0
SPU_000992	8	5	2	11	4	0
SPU_000990	2	2	2	1	1	0
SPU_000991	1	2	0	2	0	3
SPU_008152	441	428	420	694	604	541
SPU_008151	10	19	17	6	8	6
ENSRNA022742555	32	16	23	13	14	11
SPU_025011	302	218	259	267	160	120
SPU_026473	65	54	47	51	39	17
SPU_026474	62	67	104	100	64	47
SPU_005565	427	483	462	479	446	441
ENSRNA022742548	0	0	0	0	0	0
