	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
isogroup105216	5	0	0	0	0	0
isogroup105218	114	8	9	16	2	8
isogroup105227	1	0	0	0	0	0
isogroup105229	0	0	0	0	0	0
isogroup105237	69	11	16	12	9	6
isogroup105272	3	0	0	0	0	0
isogroup105283	4	1	7	3	0	0
isogroup105303	7	0	0	0	0	0
isogroup105305	32	0	9	9	0	0
isogroup105323	15	9	4	1	9	0
isogroup105336	11	0	0	0	0	0
isogroup105350	2	1	1	0	0	0
isogroup10540	78	3	21	13	4	5
isogroup105408	133	19	99	55	22	3
isogroup105414	540	73	228	149	53	48
isogroup105426	1	0	0	1	1	0
isogroup105450	2	0	0	0	1	0
isogroup105453	28	5	0	1	2	0
isogroup10546	0	0	0	0	0	0
isogroup105460	7	0	0	0	0	0
isogroup105462	0	0	0	0	0	0
isogroup105487	0	0	0	0	0	0
isogroup10551	3	0	0	0	0	0
isogroup105514	3	0	1	0	0	0
isogroup105520	0	0	0	0	0	0
isogroup105545	5	0	0	9	0	0
isogroup105547	1	0	0	1	0	0
isogroup105561	1	0	4	0	0	0
isogroup105575	0	0	0	0	0	0
isogroup105584	1	5	0	1	0	0
isogroup10559	96	4	27	7	15	1
isogroup105598	1	4	1	2	0	0
isogroup1056	6	0	0	1	3	0
isogroup105600	4	0	0	0	1	0
isogroup105603	12	0	3	8	0	0
isogroup105612	0	0	0	0	0	0
isogroup10562	2	1	12	0	0	0
isogroup105631	0	0	0	0	0	0
isogroup10566	0	0	1	0	0	0
isogroup105667	0	0	6	6	0	0
isogroup105682	1	1	2	4	9	0
isogroup105705	0	0	1	0	2	0
isogroup105721	84	1	54	16	15	13
isogroup105725	0	0	0	1	1	1
isogroup105735	0	1	1	2	0	0
isogroup105752	8	1	2	3	0	0
isogroup105763	0	0	0	0	0	0
isogroup105764	11	3	0	1	2	0
isogroup105778	5	0	0	0	0	0
isogroup105782	204	14	43	24	12	10
isogroup105817	1	1	0	0	0	0
isogroup10583	46	2	18	6	4	2
isogroup105854	5	0	2	0	0	0
isogroup105869	3	1	0	1	0	0
isogroup105870	86	13	37	18	5	4
isogroup105903	0	0	0	0	0	0
isogroup105951	58	7	3	10	1	7
isogroup105955	0	0	0	0	0	0
isogroup10598	10	0	0	2	0	0
isogroup106018	14	1	0	3	1	0
isogroup106023	3	0	0	0	0	0
isogroup106055	9	0	0	10	0	0
isogroup10606	3	0	1	3	0	0
isogroup106072	0	0	0	0	0	0
isogroup106076	0	0	0	0	1	0
isogroup106082	79	3	7	16	9	0
isogroup106128	2	0	9	0	0	0
isogroup106136	8	0	4	0	1	0
isogroup106138	0	0	0	0	0	0
isogroup106148	1	2	2	1	0	0
isogroup106154	0	0	0	0	0	0
isogroup10617	28	0	3	0	1	0
isogroup106191	2	2	0	0	0	0
isogroup106201	2	0	0	0	0	0
isogroup106204	25	0	8	1	5	1
isogroup106247	0	0	0	0	0	0
isogroup10626	0	0	0	0	0	0
isogroup106263	2	0	0	0	0	0
isogroup106283	4	0	0	8	3	1
isogroup106286	22	0	0	2	1	1
isogroup1063	6	0	0	0	0	0
