,Control_1,Hot_1,Control_2,Hot_2
isogroup251547,107,982,108,857
isogroup251566,42,204,53,206
isogroup251568,157,637,246,745
isogroup251569,14,107,22,158
isogroup251571,74,1511,155,727
isogroup251572,431,3831,521,3844
isogroup251574,35,147,17,170
isogroup251576,296,2356,538,2755
isogroup251577,12,138,50,325
isogroup251579,270,953,318,1421
isogroup251582,262,1732,419,2264
isogroup251583,74,413,83,356
isogroup251584,27,178,36,200
isogroup251585,116,493,95,550
isogroup251586,51,764,20,223
isogroup251587,412,2263,630,2280
isogroup251597,232,1383,295,1635
isogroup251603,323,1593,457,1899
isogroup251606,98,747,84,615
isogroup251608,384,2299,368,2235
isogroup251613,41,205,19,124
isogroup251614,132,1070,182,1153
isogroup251619,48,324,78,404
isogroup251621,136,503,189,729
isogroup251622,382,2161,502,2363
isogroup251625,66,42,39,147
isogroup251626,96,509,138,663
isogroup251627,199,1337,208,1346
isogroup251628,217,754,291,981
isogroup251636,289,1525,387,1660
isogroup251638,51,186,47,188
isogroup251640,142,857,197,924
isogroup251642,7,116,13,113
isogroup251645,342,1610,511,1967
isogroup251646,59,228,55,264
isogroup251647,1033,5472,1019,5569
isogroup251650,321,1487,582,2118
isogroup251651,1126,6528,1520,6304
isogroup251653,122,558,131,766
isogroup251654,81,1,119,0
isogroup251658,64,498,58,401
isogroup251660,213,1190,635,3171
isogroup251661,110,667,173,858
isogroup251663,166,975,307,1125
isogroup251669,2097,15349,2869,14659
isogroup251671,18,162,39,209
isogroup251674,15,66,10,35
isogroup251676,151,770,234,1033
isogroup251679,29,162,22,133
isogroup251680,53,364,58,318
isogroup251681,164,892,290,1210
isogroup251682,32,85,15,114
isogroup251684,35,209,80,289
isogroup251689,36,199,35,210
isogroup251692,14,155,6,71
isogroup251695,121,588,113,639
isogroup251698,94,632,68,554
isogroup251700,2637,15933,5076,19998
isogroup251701,134,869,129,536
isogroup251704,240,1582,318,1698
isogroup251705,1822,9761,2631,9667
isogroup251710,31,140,39,168
isogroup251711,10,48,6,18
isogroup251715,13,168,12,117
isogroup251716,92,411,111,588
isogroup251720,131,914,204,923
isogroup251721,1105,9541,917,8322
isogroup251723,173,1090,286,1320
isogroup251724,103,705,92,921
isogroup251729,39,304,36,292
isogroup251731,55,157,57,162
isogroup251732,204,1083,369,1398
isogroup251734,707,4185,952,3162
isogroup251736,206,988,267,1165
isogroup251739,16,63,5,45
isogroup251742,235,1358,243,1270
isogroup251744,14,74,21,97
isogroup251746,128,984,73,618
isogroup251749,98,667,120,834
isogroup251752,118,654,159,686
isogroup251753,475,3124,667,3498
isogroup251754,115,745,79,617
isogroup251755,51,384,33,277
isogroup251756,256,1384,399,1739
isogroup251757,26,60,44,53
isogroup251761,72,4,133,0
isogroup251762,129,638,105,584
isogroup251767,130,473,86,524
isogroup251773,196,1059,281,1161
isogroup251779,342,1804,231,2131
isogroup251782,129,400,106,399
isogroup251783,106,608,61,592
isogroup251784,109,285,187,454
isogroup251786,1169,7515,1627,9071
isogroup251791,70,493,129,595
isogroup251794,12,46,25,70
isogroup251797,49,452,51,499
isogroup251799,4,40,14,85
isogroup251800,534,4452,776,5040
isogroup251802,25,200,50,198
isogroup251803,9,34,6,26
isogroup251804,294,1829,424,1690
isogroup251807,11,101,10,66
isogroup251810,88,585,195,671
isogroup251816,10,32,8,21
isogroup251823,17,115,27,119
isogroup251824,136,513,117,565
isogroup251825,10,40,18,53
isogroup251826,31,207,51,283
isogroup251827,279,2306,435,2330
isogroup251833,11,72,10,68
isogroup251836,63,409,74,399
isogroup251837,735,4640,855,5209
isogroup251840,382,1858,758,3185
isogroup251844,121,712,237,934
isogroup251845,237,1172,329,1523
isogroup251847,95,465,94,387
isogroup251860,36,112,30,168
isogroup251865,93,475,105,444
isogroup251868,58,636,88,751
isogroup251871,746,3630,1321,4625
isogroup251872,2,36,9,39
isogroup251877,69,361,71,394
isogroup251878,99,577,93,247
isogroup251879,165,2004,177,1501
isogroup251881,180,1095,339,1421
isogroup251885,2223,5787,2582,7474
isogroup251887,47,252,42,248
isogroup251888,167,665,271,821
isogroup251892,100,475,117,554
isogroup251897,244,1354,310,1581
isogroup251901,38,182,42,192
isogroup251902,127,416,138,560
isogroup251906,36,232,26,240
isogroup251914,208,1060,250,1251
isogroup251915,47,283,131,288
isogroup251916,15,172,13,97
isogroup251920,82,417,140,521
isogroup251921,22,156,24,124
isogroup251922,361,1933,572,2267
isogroup251924,47,206,109,344
isogroup251927,43,209,62,292
isogroup251929,263,997,332,1198
isogroup251934,532,3326,734,3850
isogroup251935,3990,19455,4781,21881
isogroup251936,217,288,361,270
isogroup251940,382,1075,375,1040
isogroup251944,196,1219,236,1449
isogroup251945,105,515,121,662
isogroup251948,323,1634,498,2114
isogroup251949,187,1235,252,1331
isogroup251951,4,272,15,53
isogroup251953,57,227,32,202
isogroup251960,214,671,509,1509
isogroup251964,151,1057,201,1164
isogroup251966,406,2246,558,2307
isogroup251967,138,720,189,862
isogroup251969,3735,82,4559,36
isogroup251970,45,206,44,236
isogroup251971,337,1718,381,1680
isogroup251973,125,920,203,963
isogroup251976,68,352,43,282
isogroup251987,56,550,46,385
isogroup251988,22,82,14,75
isogroup251989,8,59,7,82
isogroup251990,207,1203,241,1192
isogroup251991,217,1356,216,1240
isogroup251995,321,883,397,922
isogroup251996,128,415,172,630
isogroup251997,203,935,327,1335
isogroup251998,9,45,19,57
isogroup252002,15,60,20,100
isogroup252004,84,514,133,577
isogroup252006,59,172,129,337
isogroup252009,444,3158,604,4103
isogroup252010,2,5,4,63
isogroup252012,1285,10291,1728,10500
isogroup252018,18,100,5,114
isogroup252020,1028,6107,1366,5721
isogroup252025,2705,11363,3532,12925
isogroup252026,12,90,5,40
isogroup252027,423,2541,652,3205
isogroup252031,330,1568,443,1669
isogroup252032,4088,17036,6030,21426
isogroup252035,128,856,114,583
isogroup252042,240,1355,195,1054
isogroup252044,120,741,163,773
isogroup252045,10,62,16,68
isogroup252047,130,958,242,1130
isogroup252048,142,804,245,1068
isogroup252049,181,1037,233,939
isogroup252050,309,1595,432,1795
isogroup252056,101,420,106,565
isogroup252057,211,1416,357,1478
isogroup252058,302,2266,162,1939
isogroup252061,57,270,68,272
isogroup252063,65,269,58,307
isogroup252065,1158,27380,3028,35740
isogroup252069,106,846,167,892
isogroup252077,259,1432,424,1824
isogroup252078,127,699,144,693
isogroup252079,81,504,75,519
isogroup252080,12,58,9,69
isogroup252087,116,542,174,754
isogroup252088,570,3008,834,3549
isogroup252093,17,83,30,168
isogroup252094,19,159,32,181
isogroup252096,257,1879,293,2088
isogroup252099,139,418,230,641
isogroup252101,177,1222,221,1304
isogroup252102,8,38,17,74
isogroup252106,56,348,45,305
isogroup252113,66,410,122,447
isogroup252114,447,1813,684,2265
isogroup252116,111,603,108,589
isogroup252119,66,307,92,317
isogroup252120,61,155,21,126
isogroup252121,113,524,77,408
isogroup252122,177,861,213,901
isogroup252123,140,980,204,790
isogroup252124,115,614,150,670
isogroup252127,302,1500,398,1700
isogroup252128,29,158,18,135
isogroup252129,690,4320,1132,5307
isogroup252131,135,441,203,489
isogroup252137,1107,4617,1259,4950
isogroup252143,90,632,181,795
isogroup252147,121,800,160,696
isogroup252149,88,485,157,674
isogroup252150,389,2112,439,2035
isogroup252155,36,144,29,144
isogroup252161,21,92,17,79
isogroup252162,1647,8003,2188,9641
isogroup252163,352,1330,601,1532
isogroup252165,548,2264,781,2683
isogroup252170,29,397,32,203
isogroup252172,51,196,98,320
isogroup252175,3,20,23,60
isogroup252179,197,1154,271,1329
isogroup252180,28,93,29,89
isogroup252181,657,2011,986,3084
isogroup252183,93,409,112,456
isogroup252184,102,514,188,727
isogroup252186,735,4996,998,4702
isogroup252187,92,130,92,106
isogroup252189,1000,5187,1317,5619
isogroup252191,632,3229,941,3577
isogroup252200,78,379,109,475
isogroup252203,172,944,299,996
isogroup252208,209,1165,228,1159
isogroup252212,20570,171241,21009,148114
isogroup252215,175,964,215,997
isogroup252218,222,1549,334,1557
isogroup252220,92,403,122,381
isogroup252221,15,129,17,64
isogroup252225,38,303,58,339
isogroup252226,438,2681,820,3153
isogroup252228,269,1366,346,1285
isogroup252237,337,1359,394,1554
isogroup252238,73,603,70,589
isogroup252240,154,983,237,1471
isogroup252241,10,97,12,101
isogroup252242,163,922,295,1258
isogroup252244,549,2646,366,3404
isogroup252245,360,2095,568,2724
isogroup252248,67,321,82,316
isogroup252252,656,4242,802,4615
isogroup252253,78,575,123,657
isogroup252254,140,1256,350,3552
isogroup252255,88,343,80,329
isogroup252256,71,494,74,417
isogroup252258,101,626,191,698
isogroup252259,237,1486,223,1204
isogroup252260,291,1979,428,2538
isogroup252261,218,1291,245,1489
isogroup252262,79,525,143,556
isogroup252265,6,51,13,54
isogroup252269,54,281,34,269
isogroup252276,173,780,224,1009
isogroup252277,1420,8312,1978,9067
isogroup252280,78,283,109,437
isogroup252281,134,437,110,533
isogroup252284,23,106,41,130
isogroup252285,128,717,150,772
isogroup252291,54,325,103,558
isogroup252294,221,1760,276,1937
isogroup252296,418,2345,599,2717
isogroup252298,112,577,137,772
isogroup252302,813,5219,1151,6285
isogroup252303,47,244,42,199
isogroup252304,42,170,65,231
isogroup252307,147,559,159,613
isogroup252311,16,61,15,107
isogroup252315,349,1613,329,1600
isogroup252322,8,81,17,115
isogroup252323,25,251,42,265
isogroup252324,15,113,34,125
isogroup252333,346,2038,488,2263
isogroup252334,167,711,120,630
isogroup252337,235,1560,271,1508
isogroup252344,39,198,40,180
isogroup252347,38,300,52,255
isogroup252348,112,536,129,565
isogroup252353,439,2839,536,3259
isogroup252357,42,213,42,231
isogroup252359,164,1577,263,1821
isogroup252361,163,565,189,530
isogroup252364,76,464,109,419
isogroup252366,16,148,14,112
isogroup252368,45,395,61,369
isogroup252370,1518,6571,2108,7989
isogroup252371,31,104,42,146
isogroup252373,118,668,88,646
isogroup252374,3,46,39,8
isogroup252376,70,245,116,287
isogroup252377,29,284,34,284
isogroup252381,60,416,74,432
isogroup252382,20,104,29,158
isogroup252384,171,1002,234,1213
isogroup252385,83,1223,110,1001
isogroup252387,47,351,48,285
isogroup252388,378,1826,541,1885
isogroup252389,27,139,48,189
isogroup252391,70,288,69,354
isogroup252392,284,1826,307,1699
isogroup252394,5,76,16,60
isogroup252402,287,1348,337,1526
isogroup252403,775,13,728,2
isogroup252404,83,523,42,405
isogroup252406,12,156,73,480
isogroup252409,263,1452,339,1703
isogroup252410,302,1958,451,2235
isogroup252412,23,212,37,205
isogroup252413,18,27,13,37
isogroup252416,144,988,147,958
isogroup252417,263,1467,317,1432
isogroup252418,32,254,31,242
isogroup252419,20,81,5,44
isogroup252420,135,621,171,684
isogroup252421,476,3169,691,3394
isogroup252423,19,61,16,61
isogroup252424,20,77,16,74
isogroup252427,58,142,130,240
isogroup252428,188,1110,232,945
isogroup252429,36,235,23,205
isogroup252436,214,1809,270,2036
isogroup252437,73,309,74,352
isogroup252439,220,1278,179,1045
isogroup252440,543,3079,813,4097
isogroup252446,442,3535,395,3238
isogroup252448,223,1384,217,1200
isogroup252449,210,1159,250,1276
isogroup252451,121,427,93,526
isogroup252456,226,1438,318,1527
isogroup252462,221,1122,287,1318
isogroup252464,170,1111,221,1023
isogroup252472,194,1467,307,1430
isogroup252475,68,409,110,385
isogroup252476,31,134,32,173
isogroup252477,132,836,90,611
isogroup252478,33,285,53,195
isogroup252480,14,69,25,69
isogroup252481,20,120,29,126
isogroup252484,156,849,162,816
isogroup252486,94,580,94,565
isogroup252488,151,931,296,1195
isogroup25249,23,517,47,114
isogroup252492,7618,42259,11591,48619
isogroup252495,57,264,60,290
isogroup252505,545,1619,480,1380
isogroup252506,49,409,43,226
isogroup252507,15,101,9,73
isogroup252508,226,1578,397,1952
isogroup252509,209,882,226,1046
isogroup252514,31,201,24,366
isogroup252516,199,1528,417,3209
isogroup252519,70,300,76,284
isogroup252523,77,306,84,231
isogroup252525,39,236,59,253
isogroup252526,70,464,126,513
isogroup252529,40,353,59,436
isogroup252533,18,198,29,175
isogroup252538,57,327,122,491
isogroup252539,17,85,25,68
isogroup252543,186,1211,264,1078
isogroup252544,15,34,24,68
isogroup252546,45,266,55,284
isogroup252547,111,605,145,727
isogroup252550,31,221,37,55
isogroup252552,21,166,58,228
isogroup252553,206,1380,181,1237
isogroup252557,487,1688,513,1778
isogroup252560,98,514,86,376
isogroup252562,39,171,33,159
isogroup252572,132,692,147,672
isogroup252575,481,2117,596,2309
isogroup252576,693,2711,402,1555
isogroup252577,14,125,19,142
isogroup252580,35,206,50,273
isogroup252581,1233,3725,1644,4500
isogroup252582,591,1865,923,2389
isogroup252587,47,181,68,288
isogroup252591,2,30,7,43
isogroup252592,67,397,88,460
isogroup252595,51,315,51,335
isogroup252602,44,278,22,224
isogroup252605,2902,11221,4280,12900
isogroup252606,207,878,214,825
isogroup252607,247,983,312,936
isogroup252608,34,184,52,200
isogroup252610,269,1053,331,1388
isogroup252612,218,1258,167,1232
isogroup252613,914,5546,1332,6508
isogroup252615,2146,12324,3736,12575
isogroup252620,66,512,63,385
isogroup252623,298,2040,368,2177
isogroup252625,122,4,107,0
isogroup252633,463,2542,560,3028
isogroup252634,527,1992,834,2341
isogroup252635,79,423,98,485
isogroup252636,12,50,64,281
isogroup252637,197,792,263,999
isogroup252642,363,1816,469,2054
isogroup252645,35,81,48,121
isogroup252646,423,2417,620,3000
isogroup252656,80,517,104,561
isogroup252659,80,572,103,576
isogroup252661,96,967,119,1015
isogroup252662,309,1891,417,1847
isogroup252663,54,243,43,252
isogroup252664,24,228,46,167
isogroup252665,39,185,41,167
isogroup252667,195,975,254,1101
isogroup252671,38,260,73,381
isogroup252673,227,913,341,1108
isogroup252677,209,1074,330,1268
isogroup252678,216,6,265,0
isogroup252680,2893,15120,4160,18943
isogroup252681,254,1064,271,1215
isogroup252682,46,350,62,498
isogroup252684,311,1639,409,1795
isogroup252688,691,3957,983,4526
isogroup252690,62,1594,116,1594
isogroup252691,181,1039,245,1215
isogroup252704,121,696,187,899
isogroup252711,26,185,10,112
isogroup252712,1,20,3,28
isogroup252714,528,2115,754,2394
isogroup252716,89,508,158,691
isogroup252717,154,1652,265,1516
isogroup252718,64,369,49,370
isogroup252719,12,68,4,47
isogroup252720,2987,17629,4435,22144
isogroup252726,84,416,101,520
isogroup252727,36,166,36,204
isogroup252728,24,50,17,104
isogroup252729,124,560,168,718
isogroup252732,208,1235,224,1409
isogroup252733,81,704,89,641
isogroup252734,21,173,28,175
isogroup252735,601,3347,879,2940
isogroup252736,42,195,48,213
isogroup252737,53,225,80,224
isogroup252739,360,2169,386,2262
isogroup252741,111,668,121,555
isogroup252743,67,437,51,291
isogroup252744,2498,18168,3011,13062
isogroup252745,150,607,187,713
isogroup252749,39,156,42,177
isogroup252751,37,189,38,202
isogroup252753,178,1141,184,978
isogroup252754,36,129,35,115
isogroup252756,213,1131,211,1053
isogroup252757,20,61,25,93
isogroup252760,128,715,146,794
isogroup252763,156,907,280,1071
isogroup252764,44,267,46,268
isogroup252765,123,586,62,512
isogroup252767,99,434,79,399
isogroup252772,43,456,57,335
isogroup252773,111,709,150,819
isogroup252776,17,107,32,113
isogroup252777,730,8,976,1
isogroup252778,20,81,25,114
isogroup252780,271,1071,423,1598
isogroup252781,424,3158,366,2830
isogroup252783,131,971,156,1013
isogroup252784,426,2475,597,2345
isogroup252786,16,93,15,96
isogroup252787,19,120,8,106
isogroup252790,348,861,311,718
isogroup252792,82,393,69,418
isogroup252794,128,764,157,807
isogroup252795,63,314,44,251
isogroup252799,35,229,38,272
isogroup252802,203,984,310,1191
isogroup252803,496,3308,694,3748
isogroup252805,28,136,22,102
isogroup252806,215,1243,134,1058
isogroup252808,202,1217,230,1185
isogroup252813,103,607,194,779
isogroup252816,31,247,15,143
isogroup252820,56,196,17,148
isogroup252822,93,844,93,744
isogroup252823,144,753,249,863
isogroup252826,106,714,133,611
isogroup252827,334,1253,676,1648
isogroup252830,26,174,19,177
isogroup252839,4,64,0,4
isogroup252841,165,995,270,1137
isogroup252842,13,172,8,86
isogroup252843,163,671,189,875
isogroup252845,27,218,50,374
isogroup252846,213,1158,300,1348
isogroup252848,83,501,124,545
isogroup252850,34,240,24,168
isogroup252851,316,2365,497,2544
isogroup252857,93,494,183,517
isogroup252862,31,108,14,96
isogroup252863,13,166,30,157
isogroup252864,113,662,96,599
isogroup252865,41,253,50,238
isogroup252866,467,2202,765,3251
isogroup252868,180,1271,146,976
isogroup252869,54,462,29,321
isogroup252870,59,454,48,375
isogroup252872,872,4623,1177,4916
isogroup252873,78,427,95,441
isogroup252878,20,67,47,208
isogroup252881,120,829,194,851
isogroup252882,266,795,369,1115
isogroup252890,170,768,271,944
isogroup252891,91,195,62,182
isogroup252894,149,735,225,863
isogroup252895,307,1016,227,1263
isogroup252896,635,3280,646,3709
isogroup252902,497,1309,628,1488
isogroup252905,316,1211,500,1187
isogroup252907,50,397,52,344
isogroup252909,28,123,18,112
isogroup252911,623,3580,788,3585
isogroup252914,63,338,86,362
isogroup252915,29,258,37,256
isogroup252918,111,622,150,706
isogroup252919,20,83,17,75
isogroup252922,13,150,20,74
isogroup252933,2312,11495,3509,12411
isogroup252937,24,87,21,99
isogroup252938,417,2083,608,2868
isogroup252941,17,148,8,53
isogroup252945,24,166,19,158
isogroup252947,1815,12405,2517,12960
isogroup252948,22,50,14,79
isogroup252951,175,600,297,838
isogroup252952,36,336,29,743
isogroup252953,390,3523,495,4231
isogroup252954,574,3478,629,3858
isogroup252955,1018,6565,1477,6453
isogroup252957,23,156,58,211
isogroup252958,30,90,26,77
isogroup252959,295,1772,273,1681
isogroup25296,11,290,21,76
isogroup252960,154,752,147,754
isogroup252961,24,128,23,167
isogroup252962,285,1324,494,1692
isogroup252966,71,376,55,320
isogroup252968,174,930,190,945
isogroup252973,529,3195,857,4273
isogroup252975,82,421,103,491
isogroup252976,26,225,75,456
isogroup252985,323,1755,530,2217
isogroup252989,2677,14093,3258,15933
isogroup252990,24,197,17,92
isogroup252991,13,131,12,104
isogroup252992,124,616,185,700
isogroup252993,163,1213,246,1701
isogroup252996,62,305,104,436
isogroup253000,47,340,54,383
isogroup253003,26,135,41,199
isogroup253005,48,243,74,292
isogroup253009,45,261,26,213
isogroup253020,144,673,61,576
isogroup253021,223,1058,296,1219
isogroup253022,140,785,139,898
isogroup253023,16,180,19,117
isogroup253025,1914,858,2269,1238
isogroup253026,128,665,150,783
isogroup253027,17,115,50,105
isogroup253029,47,302,85,346
isogroup253032,508,2817,736,2895
isogroup253034,116,1056,122,1169
isogroup253036,67,476,97,534
isogroup253037,249,1771,405,1893
isogroup253040,394,1878,610,2431
isogroup253041,304,2008,398,2249
isogroup253044,361,2431,260,1876
isogroup253046,133,377,180,487
isogroup253053,315,2074,317,2058
isogroup253055,2358,12602,2253,18253
isogroup253059,354,2368,385,2493
isogroup253060,22,152,8,82
isogroup253062,75,382,99,400
isogroup253063,24,18,26,72
isogroup253064,435,2436,505,2444
isogroup253066,18,185,12,91
isogroup253067,210,1149,345,1486
isogroup253068,69,209,46,166
isogroup253074,153,844,181,848
isogroup253076,30,174,17,128
isogroup253078,33,183,67,244
isogroup253079,136,685,200,876
isogroup253083,166,488,260,809
isogroup253088,16,75,5,27
isogroup253089,77,319,108,413
isogroup253090,85,381,132,530
isogroup253091,16,96,9,122
isogroup253092,25,41,45,86
isogroup253093,27,116,32,163
isogroup253094,193,1426,235,1517
isogroup253095,203,624,326,1052
isogroup253096,46,935,42,653
isogroup253098,23,231,69,293
isogroup253100,643,3611,1036,4306
isogroup253105,46,356,39,320
isogroup253106,58,429,69,393
isogroup253107,16,117,38,216
isogroup253108,101,486,185,543
isogroup253111,120,479,117,571
isogroup253112,35,209,53,231
isogroup253113,450,7,232,2
isogroup253115,269,1488,408,1658
isogroup253119,51,346,50,267
isogroup253120,153,920,214,1039
isogroup253121,23,108,25,133
isogroup253129,11,52,13,82
isogroup253130,2891,19471,3871,21471
isogroup253134,14,125,11,126
isogroup253135,70,355,58,301
isogroup253137,250,1152,453,1351
isogroup253140,15,77,20,83
isogroup253141,426,2341,651,2930
isogroup253143,244,1052,274,1881
isogroup253146,152,836,263,925
isogroup253147,78,613,83,438
isogroup253151,268,1734,302,1769
isogroup253154,41,193,53,207
isogroup253155,195,1361,1160,3381
isogroup253160,249,834,588,1789
isogroup253161,203,1126,229,1279
isogroup253162,354,1143,346,990
isogroup253167,225,1106,249,1201
isogroup253168,275,967,127,587
isogroup253169,225,1105,247,1190
isogroup253170,400,3190,582,2784
isogroup253174,3,43,5,32
isogroup253176,16,127,12,77
isogroup253178,619,3524,904,3746
isogroup253181,13,119,22,146
isogroup253182,32,244,32,195
isogroup253185,1489,10986,3036,22590
isogroup253188,495,2945,643,3180
isogroup253189,291,1693,394,1897
isogroup253191,156,1045,98,799
isogroup253193,40,194,49,196
isogroup253194,96,677,103,610
isogroup253201,1385,1869,1413,643
isogroup253203,410,2726,607,2867
isogroup253205,46,284,77,332
isogroup253206,496,1986,602,1963
isogroup253208,112,577,156,749
isogroup253209,100,877,92,591
isogroup253212,510,3449,701,3434
isogroup253213,51,229,62,293
isogroup253217,696,4012,833,3818
isogroup253218,143,496,199,630
isogroup253222,40,300,44,304
isogroup253226,20,209,11,157
isogroup253231,13,86,18,93
isogroup253234,189,1358,221,611
isogroup253235,69,367,166,397
isogroup253238,39,73,22,144
isogroup253239,4533,18869,6962,25844
isogroup253240,19,126,15,79
isogroup253241,424,3651,542,3460
isogroup253242,86,0,156,1
isogroup253243,1934,9160,2413,13464
isogroup253244,245,1079,260,1196
isogroup253245,158,698,226,776
isogroup253246,20,120,46,138
isogroup253248,41,218,38,218
isogroup253252,124,726,155,751
isogroup253255,28,217,31,109
isogroup253256,177,4,140,1
isogroup253259,115,602,218,1061
isogroup253266,150,822,209,907
isogroup253271,203,1604,258,1373
isogroup253272,388,2217,554,2978
isogroup253273,22,66,24,74
isogroup253279,128,1063,206,1297
isogroup253280,79,469,124,562
isogroup253285,181,1023,178,1079
isogroup253287,15,23,15,17
isogroup253288,83,545,104,537
isogroup253292,607,3025,604,2811
isogroup253294,30,180,24,178
isogroup253297,12,111,26,252
isogroup253298,30,169,34,163
isogroup253299,87,691,12,69
isogroup253301,142,1378,234,1970
isogroup253303,380,5198,316,4207
isogroup253304,209,874,195,803
isogroup253306,23,149,48,286
isogroup253308,750,3955,1087,5237
isogroup253310,83,682,83,677
isogroup253311,215,655,281,747
isogroup253312,585,3536,1018,4530
isogroup253313,1957,15254,3288,14806
isogroup253314,197,1125,294,1128
isogroup253317,288,1258,333,1316
isogroup253320,239,1367,361,1483
isogroup253324,51,305,73,341
isogroup253325,2,13,4,13
isogroup253327,86,519,139,579
isogroup253330,280,1214,272,1406
isogroup253334,168,1191,151,1046
isogroup253335,10,48,163,20
isogroup253336,5,43,5,36
isogroup253341,17,127,11,92
isogroup253342,318,2033,435,2250
isogroup253345,188,846,162,863
isogroup253346,4,44,5,30
isogroup253348,19,101,27,92
isogroup253349,56,364,80,330
isogroup253356,1380,6,1047,7
isogroup253359,64,391,50,331
isogroup253360,48,325,55,300
isogroup253362,12,65,13,71
isogroup253365,28,165,27,83
isogroup253369,18,87,15,93
isogroup253374,17,102,21,74
isogroup253376,1066,3704,1187,2924
isogroup253378,91,329,144,456
isogroup253379,96,582,128,627
isogroup253380,26,98,27,137
isogroup253382,185,997,262,809
isogroup253383,78,422,75,483
isogroup253394,142,430,306,463
isogroup253395,51,274,49,176
isogroup253396,221,1062,303,1125
isogroup253398,32,402,15,249
isogroup253400,32,186,34,200
isogroup253401,199,927,330,1013
isogroup253402,15,102,28,81
isogroup253403,0,0,1,0
isogroup253404,1456,10418,1813,10533
isogroup253405,30,140,62,218
isogroup253406,99,600,73,693
isogroup253407,156,1107,133,967
isogroup253409,32,113,22,134
isogroup253410,44,245,15,142
isogroup253411,259,1617,391,1739
isogroup253416,62,456,99,590
isogroup253420,177,1099,287,1206
isogroup253423,192,1151,274,1149
isogroup253427,152,915,228,1107
isogroup253428,214,619,241,718
isogroup253429,0,0,0,0
isogroup253430,1619,13624,2498,13322
isogroup253433,341,10,476,0
isogroup253435,4,44,168,1520
isogroup253436,290,1246,399,1827
isogroup253437,117,956,115,985
isogroup253438,313,843,695,1061
isogroup253440,283,1329,466,1626
isogroup253441,15,264,31,261
isogroup253443,92,12,62,1
isogroup253444,106,456,141,400
isogroup253445,176,1114,184,1223
isogroup253447,507,2472,619,2656
isogroup253448,58,199,80,208
isogroup253454,2373,10255,2991,12238
isogroup253461,32,167,13,158
isogroup253462,65,303,65,355
isogroup253463,1314,7615,1772,8004
isogroup253464,103,560,213,826
isogroup253465,18,154,39,202
isogroup253466,52,162,54,201
isogroup253467,423,1445,398,1497
isogroup253472,81,468,116,641
isogroup253474,13,63,12,33
isogroup253475,234,1518,237,1345
isogroup253477,4699,21688,5363,24979
isogroup253478,48,95,75,192
isogroup253479,18,57,5,46
isogroup253480,12,44,6,27
isogroup253485,127,771,211,865
isogroup253488,72,509,123,688
isogroup253491,80,1188,78,736
isogroup253495,4559,20429,5292,28020
isogroup253497,72,424,63,367
isogroup253500,120,683,287,796
isogroup253501,249,1379,348,1558
isogroup253508,25,201,13,80
isogroup253512,94,834,175,1073
isogroup253515,23,120,38,150
isogroup253517,105,378,179,437
isogroup253519,677,6517,695,6404
isogroup253524,16,113,25,127
isogroup253525,621,2788,891,3020
isogroup253526,107,759,109,684
isogroup253527,1012,4027,638,4432
isogroup253528,32,130,48,217
isogroup253529,150,1579,218,1982
isogroup253535,15,109,15,162
isogroup253539,622,3393,986,3767
isogroup253548,46,205,34,142
isogroup253550,103,443,99,379
isogroup253553,487,2469,644,2594
isogroup253554,779,4297,1044,4966
isogroup253556,90,340,31,170
isogroup253557,157,739,103,636
isogroup253558,32,200,34,262
isogroup253560,216,868,234,1093
isogroup253562,79,1325,103,2262
isogroup253563,44,568,64,420
isogroup253567,104,521,105,578
isogroup253569,33,109,31,95
isogroup253573,166,1027,210,1047
isogroup253575,401,1992,555,2461
isogroup253577,446,2185,584,2273
isogroup253580,24,109,19,105
isogroup253582,66,463,59,567
isogroup253584,93,524,82,1273
isogroup253586,375,1948,528,2189
isogroup253587,76,564,133,1118
isogroup253588,357,2237,484,2460
isogroup253591,302,1980,382,2053
isogroup253594,53,456,101,400
isogroup253596,29,114,38,124
isogroup253599,16,68,15,84
isogroup253603,46,143,32,73
isogroup253605,79,395,136,428
isogroup253606,11,36,5,28
isogroup253607,140,609,132,594
isogroup253608,213,993,314,846
isogroup253610,86,519,65,551
isogroup253612,121,668,179,763
isogroup253613,289,1809,264,1668
isogroup253615,82,657,109,694
isogroup253616,8,32,11,28
isogroup253617,50,249,53,191
isogroup253618,40,211,48,302
isogroup253624,19,123,12,51
isogroup253625,192,923,274,1057
isogroup253626,156,576,316,916
isogroup253629,253,1350,391,1599
isogroup253630,29,259,87,273
isogroup253631,60,301,58,381
isogroup253632,66,436,97,428
isogroup253633,68,379,62,365
isogroup253634,73,244,31,194
isogroup253638,96,1,100,0
isogroup253639,75,296,93,296
isogroup253640,263,1605,281,1330
isogroup253641,556,2854,612,2770
isogroup253642,87,613,172,631
isogroup253646,31,127,39,179
isogroup253655,1,28,10,64
isogroup253658,133,1115,119,1028
isogroup253659,397,1818,716,2667
isogroup253661,153,800,155,900
isogroup253662,86,517,136,604
isogroup253663,103,546,162,612
isogroup253664,29,112,14,113
isogroup253668,212,419,313,454
isogroup253671,222,1501,338,1599
isogroup253672,15,89,12,74
isogroup253673,264,2180,341,1945
isogroup253674,63,95,76,152
isogroup253677,218,635,288,789
isogroup253678,12,217,10,115
isogroup253680,174,945,172,1098
isogroup253681,336,6,440,5
