,Control_1,Hot_1,Control_2,Hot_2
isogroup126001,1,14,0,9
isogroup126009,1,9,0,8
isogroup12657,6,10,2,11
isogroup1266,1,6,1,5
isogroup126790,0,29,0,22
isogroup126970,14,4,17,4
isogroup126992,3,7,11,4
isogroup127,3,6,5,5
isogroup127142,156,4,134,0
isogroup127149,7,8,2,10
isogroup127247,4,8,1,5
isogroup127252,0,38,3,14
isogroup127256,1,5,0,14
isogroup127283,2,18,2,13
isogroup127309,2,18,0,7
isogroup127498,1,7,1,4
isogroup127504,3,0,3,1
isogroup127520,6,23,6,15
isogroup127612,1,2,3,4
isogroup127650,23,106,30,114
isogroup12768,1,66,2,12
isogroup127836,0,8,2,5
isogroup127955,1,19,2,17
isogroup127966,2,12,1,4
isogroup127989,3,12,1,5
isogroup128103,0,0,1,0
isogroup128212,1,20,1,14
isogroup128317,40,41,72,20
isogroup128548,0,1,2,11
isogroup128560,3,3,1,4
isogroup128610,0,2,0,5
isogroup128903,1,10,0,1
isogroup129056,0,4,1,6
isogroup129104,2,16,2,16
isogroup129126,1,2,4,2
isogroup129168,3,9,0,5
isogroup129195,0,1,0,0
isogroup129228,2,5,2,1
isogroup129248,2,2,5,8
isogroup129392,3,11,2,7
isogroup129502,3,33,4,5
isogroup129546,2,2,1,14
isogroup129562,0,0,0,0
isogroup129671,0,0,1,0
isogroup129714,5,9,2,5
isogroup130013,1,3,1,5
isogroup130031,4,22,9,8
isogroup130064,4,0,1,0
isogroup130069,1,0,0,0
isogroup130078,2,1,1,10
isogroup130090,0,3,1,3
isogroup130457,1,9,0,7
isogroup130473,1,4,2,3
isogroup130507,2,5,2,6
isogroup130532,2,3,0,3
isogroup130562,4,11,0,5
isogroup130639,3,35,4,19
isogroup130722,5,38,4,64
isogroup130755,1,5,5,3
isogroup131575,1,6,2,7
isogroup131592,1,20,0,9
isogroup131794,1,7,6,5
isogroup131938,4,13,6,15
isogroup131948,0,12,1,11
isogroup13195,1,9,0,7
isogroup132002,1,0,45,0
isogroup132158,5,12,0,7
isogroup132160,219,8,220,0
isogroup132196,1,34,4,14
isogroup132348,2,14,3,16
isogroup132609,2,2,0,4
isogroup132676,0,0,0,0
isogroup132691,4,8,2,3
isogroup132765,4,11,3,16
isogroup132766,10,21,7,30
isogroup132857,4,23,4,12
isogroup132878,1,13,8,9
isogroup132927,0,0,2,1
isogroup133025,4,30,7,42
isogroup133061,5,21,12,15
isogroup133098,4,4,0,2
isogroup133329,3,3,1,3
isogroup133379,0,1,3,24
isogroup133444,2,17,0,3
isogroup133458,1,6,2,8
isogroup13370,2,8,0,8
isogroup134037,2,9,5,9
isogroup134124,0,0,22,0
isogroup134177,1,16,3,15
isogroup134369,6,1,12,4
isogroup134490,1,12,3,4
isogroup13466,1,6,0,0
isogroup134693,6,34,4,6
isogroup134716,5,20,9,21
isogroup134923,1,56,0,2
isogroup134944,4,11,1,8
isogroup134965,1,3,3,10
isogroup135159,118,20,144,7
isogroup13533,1,8,4,3
isogroup135400,4,21,2,11
isogroup135410,3,12,1,13
isogroup135591,2,3,1,1
isogroup135722,1,4,0,5
isogroup136286,2,6,0,6
isogroup136785,2,8,0,2
isogroup136873,0,1,2,1
isogroup136933,0,0,0,0
isogroup137120,0,0,0,17
isogroup137271,0,0,0,0
isogroup137326,0,3,1,4
isogroup137397,3,9,2,5
isogroup137486,2,15,1,7
isogroup137763,1,3,0,3
isogroup137793,0,0,0,0
isogroup137933,2,13,5,7
isogroup138233,0,125,2,77
isogroup138372,1,3,1,3
isogroup138720,0,6,1,10
isogroup138748,3,11,2,20
isogroup139030,0,9,0,9
isogroup139259,4,8,2,10
isogroup139288,0,5,0,4
isogroup139705,0,10,3,7
isogroup139892,1,6,0,1
isogroup1402,0,7,0,4
isogroup140277,5,10,1,17
isogroup140349,1,4,3,26
isogroup140373,4,8,1,9
isogroup140612,0,0,0,0
isogroup140640,0,0,0,0
isogroup140667,3,9,0,10
isogroup140672,1,4,5,9
isogroup140691,3,30,2,12
isogroup140755,0,22,0,20
isogroup140816,1,4,6,4
isogroup140903,2,6,2,6
isogroup141008,1,10,3,12
isogroup141043,0,0,2,0
isogroup141077,1,9,2,2
isogroup141091,2,13,0,6
isogroup141530,242,4,189,1
isogroup141731,2,14,1,7
isogroup141744,0,0,1,0
isogroup141779,0,1,1,1
isogroup141874,0,25,5,6
isogroup141890,0,0,0,1
isogroup141947,0,5,0,6
isogroup141983,3,22,3,6
isogroup142101,9,279,15,62
isogroup142103,5,3,2,4
isogroup142306,0,0,0,0
isogroup142516,2,12,4,6
isogroup142709,0,12,2,7
isogroup142751,5,38,10,30
isogroup142976,1,10,1,3
isogroup142983,3,9,2,7
isogroup143062,1,10,1,8
isogroup143348,54,296,55,299
isogroup143371,5,15,1,9
isogroup143445,2,13,1,6
isogroup143513,0,22,2,4
isogroup143573,296,7,209,0
isogroup143740,1,6,2,2
isogroup143969,1,7,0,6
isogroup144155,3,12,1,7
isogroup144191,1,5,0,11
isogroup144453,0,4,7,11
isogroup14458,0,4,2,6
isogroup144889,1,3,2,2
isogroup144918,3,6,0,3
isogroup145375,18,0,33,1
isogroup145630,0,1,2,11
isogroup145711,12,1,16,6
isogroup1460,0,4,5,5
isogroup146045,1,13,3,10
isogroup146184,2,43,5,14
isogroup146234,1,19,1,11
isogroup146244,191,69,200,51
isogroup14629,10,27,10,6
isogroup146315,1,8,19,131
isogroup146325,52,0,105,0
isogroup146500,5,27,2,12
isogroup146709,4,28,31,15
isogroup146740,1,15,1,4
isogroup146806,0,10,2,6
